tweet_id,sentiment,text
39361,positive,Fake news Muslim man was not beaten up in Karimnagar for not chanting ' Jai Shree Ram ' https // t . co / zsYcHeH53Q
19737,negative,@ VazeIndian @ RahulGandhi Muslim vo kutte ki dum hai ko12 baras nali me daal ke rakkho nali tedi ho jayegi muslim se … https // t . co / 68f65GdmmA
12664,negative,@ margallass Aray nhe Nawaz sharif sala dulla hara walay ka pota hy tmhay kisi nay ghalat batya hy . Waisay bhe kapta … https // t . co / YCw9dvUXpV
27674,negative,RT @ shaik _ hussam EVM ki rigging nahi hui Hindu mind ki rigging ho chuki hai ' @ aimim _ national Chief @ asadowaisi ne kiu kaha ? @ syedasimwaq …
18543,negative,@ bprerna Prerna bakshi tum jsise log ho .. jinko koi nahi janta koi nahi puchta ... Koi aukat nahi tum jaiso ki .. Yahi k … https // t . co / pR2ae7PsE5
18581,neutral,@ Boss80272767 Hmne to record tod like kiye h ...😂😂😂🤣🤣🤣
19389,negative,@ ZarinaBano _ Dogla pann ki bhi haad hoti hai ladki hindu hai jalane wale muslim hai itna koi kaise girr sakta o mai … https // t . co / zewLW01XbN
13738,negative,@ bhaiyyajispeaks @ sherryontopp @ sherryontopp resign nahin karega ... usey gaan # par laat maarkar bahar kiya jaayega .
20497,negative,@ irctc maintenance head Fuck you madarchod Chutiya madarchod Chutiya website Randi ka bacha Teri gand me meri tatkal ki waiting list
17016,positive,RT @ arunjaitley Congratulations to Sh .@ narendramodi ji on taking oath for the second time as the Prime Minister of India . I wish the very …
22538,negative,@ ibne _ haytham @ SnehaNa13439620 @ Raqibsyed1 @ SabahKashmiri @ Ibne _ Sena @ ZakirKhan012 WTF apni tarah chutiye samjha hai kya
40533,positive,@ RohaNadym Jahan pyaar hota hai wahan itna chalta hai our team also need to understand that this is world cup and w … https // t . co / 8EGYHozb1h
25800,neutral,@ RailwaySeva @ rpfscr Thanks for active Modi sarkar . Sabka sath sabka vishwas .
32184,neutral,RT @ Mandy _ Takhar @ amitabh _ chawla maybe allah God Ram Jesus and I ’ m sure many more names for the One 🙏🏼
28558,neutral,RT @ vipppyy @ kamaalrkhan Lets see ... I am expecting 350 cr from this movie ... Salman bhai ki avg movie bhi 300 kama leti hai 😊😊
36145,neutral,@ waqas _ khokhr @ ChohanHassanAli @ FayccKhan @ jeera101 @ cricketworldcup Nae cahiye BC hd streaming .
14822,negative,@ abpnewstv Mumtaz begam ka janta daba khoj liya hai uska naam hai Jai shree Ram Jai Shree Ram Jai Shree Ram Jai Sh … https // t . co / PWuZjeo9CG
36726,positive,@ kamaalrkhan You are a much better actor than most of our current superstar . Please do more big budget action movies .
12865,negative,@ RanaAyyub Bhai kya 3rd grade ki uraat hai .. iske maa baap bhi isse pareshan honge ... khati india ka gaati pakistan ka hai .
20032,positive,Good morning friends Jay shree krishna Aap ka din khushiyo se bhar jaye https // t co / Rzp9rCwOpp
9586,neutral,RT @ kashij3 Guttar k dhakuno key choree say shru kiya hua business is Arz a Pak ko lootnay tuk pohncha . Kitnay banks fail huay log medici …
21911,neutral,RT @ Haanwohirubaab @ oye _ firrangi Melay eid tay tapray tumalay taplo thy athay hn 😂😂
17656,neutral,@_ Aafat _ here _ I have seen the video but itna afoos video per nhi howa jitna comments section main loogon k comments … https // t co / s6mxVtvA7p
16847,positive,@ manojsinhabjp Mananiy Sinha ji hame ab bhi vishwas hai ki aaj aap ko Mananiy Naredra Modi ji aap ke vikas karyo ka … https // t co / xBupbeh0rV
30973,neutral,Yes I listen to early 2000s rock am I bothering you ? No
27923,negative,@ ChouhanShivraj @ nsitharaman Mamaji apne ham sabhi educated youth ko kahi ka nahi chhoda . Ham sabhi over age hone … https // t . co / 3nmbfBW8D7
43850,positive,@ haleema _ janjua No u have to make ur own reputation in society . You got freedom 1 day before INDIA 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 but … https // t . co / fcisJd0ANo
36602,neutral,@ WhoSunilGrover Eid ko nd Salman bhaijan ko box-office me halla machane ko aur apko dekhne keliye # Bharat # BharatThisEid Just 7days
27226,negative,@ AKKIsCHamp @ Mass __ Tweets Waiters saalo thumari Aukaath bas tips lene ki hai malik banne ki nahi Din me sapne dekhna band karo 🤣🤣🤣🤣🤣🤣🤣
23731,neutral,@ mnet101boys Hiro !!! Please hold on oke . 😢😢😢 I'm so sorry that inter fans can't vote for u 😭😭😭 Please K-net make this boy debut
15512,positive,RT @ AgerwalNidhhi I loBe you too baby Yash ❤️ aap toh mujhse bhi zyada cute ho 🤗 aapke liye bahut saare hugs and kisses 😘😘😘 https // t . co / 7 …
28307,negative,LMAO apke abu atom bomb kandhay pe utha k chaghi gaye they or apni nazroon k samne phar k aye they ? https // t co / KjjmjABINp
20708,neutral,@ muglikar _ Life ? Not good for Congress supporters Pathetic for Aam Admi Supporters Jagan's supporters are already … https // t co / 9kx6xihcBG
43578,neutral,Thank you @ DauphinCounty for your generous support of the # Big33 especially to Commissioners Jeff Haste George Har … https // t . co / QYwDvEWObk
21837,negative,@ Imk _ sonu @ AtifBjp @ rsprasad Bjp ne more than 15 tickets diye the ek ko bhi vote ni diya tum logo ne vote doge cong … https // t . co / VQGpfzGrSu
27945,neutral,RT @ RNNBJ1078 kisi ka ihlaq dekhna hOo tOo is ka mobile chargng sy hata kr apna lga lOo ...!!! dhOod ka dhOod panii ka panii hOo jaye ga ..!…
