tweet_id,sentiment,text,emotion
28221,negative,@ DrDeng9 @ theskindoctor13 @ ANI @ MamataOfficial Ye doctor homko chain se jeene nahi dega ore baba ami ki korbe sob borbod hogaya,anger
414,negative,@ waseemAli0007 @_ Mansoor _ Ali @ ImranKhanPTI Tera nam taray ander ki jalan btaa raha hai . Sari duniya main oil price … https // t . co / yTXZdq5Rbz,anger
29875,negative,@ UrmileshJ Kuchh nhi hoga media wale aur niche girenge janta ki nazaro me jaise unki chamchagiri aur dalali start h … https // t . co / HW88QXHdZZ,anger
22124,negative,RT @ VirusUncle Tujh jaisa khud India ka loss mtlb Sanghiyo aur bhakto ka loss bta rha h .. fir royega ki ham ( muzlims ) se nationalism ka pro …,anger
16162,negative,@ krunal _ sardhara @ SophiaW47285349 Jihaad k naam pe Kitna Randi Rona karege bey madarchodo itna toh khud Muslim nhi … https // t . co / gsYK6TQ3QR,anger
44556,negative,Abe @ EVM nhi tum sab chor ho be jab saale tum jeete to aache kaam ki wajah se jeete or jab harne ki baari aayi to … https // tco / UD4geTstzw,anger
28380,negative,@ sardanarohit @ aajtak Log keh rahe hae Amit shah k paas economy ka koi experience nahi hae Phir to Pappu ko na hi … https // t co / rywhxK40Mt,anger
40010,negative,@ ZedsDeadb Mazaak me Modi naam rakh diya tha maa ne hamare journalists ko sunte hi orgasm ho gaya aur cheekhne lag … https // t co / HTvDMvdolX,joy
42611,negative,@ RavishKumar _ @ RavishKumarBlog @ ravishndtv @ ndtvindia @ ndtv Ye TV vale ka bap bada harai kutta hai jab se bjp s … https // t co / BuxCEKbhVC,anger
9129,negative,B4 Election Media ko GDP kabhi kam hotey hue Nazar nhi aaya .. Modi saab ko khud media walo ko batana pada k GDP apne … https // t . co / Nn2nUYfnxY,anger
12930,negative,@ delayedjab bangal aur north east ke gaaon mein jake dekh how illegal muslim immigrants treating hindus bandar ke jaise nachna bandh kar,anger
16803,negative,@ R _ A _ J _ B @ kaynakapilian @ Khushal _ Offl @ sangeetagaur8 @ Warrior _ K9 _ Bhaiya khud ka malba hum pe kio gira rahe ho dukh … https // t . co / zdSMMx3rPh,sadness
21936,negative,@ LateefDaar India-Porkistan k batware se pehle kiska tha Ghanta to baja rahe hain hamare fauji bhai wahan Sun n … https // t co / BDt67j1X68,anger
27240,negative,RT @ a _ roach06 These bitches be 18 👩 boyfriend 70👨‍🦳 talking about bae be spoiling me 😍 duh bitch he think u his grandchild 😐😭😭,sadness
