tweet_id,text,emotion
30144,@ GappistanRadio Pradhan panauti ji South Africa ko to aapne lapet diya . Ugla number kiska hai .,anger
10440,RT @ JuniorGippy @ igippygrewal 🔥 End Galbat Ustaaji 🙈 bahot sohni eh photo ji tuhadi 😍 love u Ustaaji @ igippygrewal 😘💚 https // t . co / Vz3osNcQ8Z,joy
33784,Minister of the Department of Vrrrr Phas Yoh you love to see it 😂🤣😂🤣😂🤣 https // t co / AZxaDOlIxw,joy
10769,Good night . Pooja maim Ji kaise hai ap nameskar karna bhi bhul gayi ho parti badal diya kya apne apni . Jay hind jay … https // t . co / AAMoPn17h9,sadness
30568,RT @ YusufTAbubakar A perfect 👌🏽 woman isn ’ t real - A real woman isn ’ t perfect 👌🏽. There isn ’ t one perfect being on earth 🌏. We strive fo …,joy
8002,# PAKvBAN @ SYahyaHussaini Aur @ ZAbbasOfficial Ko World Cup Se Ban Karo To Acha Rahe Ga Shyad 😂😂😂😂 https // t co / q5AKBc51ZO,joy
28296,RT @ MLB We see … YOU rocking @ Oakley Prizm lenses like @ thejudge44 . 👀 RT for your chance to win a pair ! Official rules https // t . co / 4TOR …,joy
36166,Koi janme hai mard to koi janmi hai aurte Sharir me bhale ho fark Ruh sabki ak hai Ak hai jo ham sabhi Vish … https // t . co / nt7IC2YUkY,trust
24167,WALAIKUM ASSALAM SUBHA B KHAIR ZINDAGI KHUSH KHURRAM RAHAIN ZINDAGI BHAR DEAR SWEET SISTER GOOD LUCK GOD BLESS YOU … https // t . co / Hfy0ffkSTm,joy
3881,@ Osamajunaid15 Har bar bykea sy hi bhijwati hun yaar is bar bhi bhijwa dugi maro mat tum,anger
18730,My love friend Sapna ji ma aapka dil churalunga key ki hame aapk dil ma rahte h aap too mar dil ma ho my love frien … https // t . co / vI2ZpOjGJt,joy
4254,RT @ RiseofBurnol Dear @ ImranKhanPTI 😂😂😂 105 run maar kar Poori team out Bc Modi ka itna Darr ki bat samhal nahi paa rahe Pakistani play …,joy
5193,@ Rakulpreet @ dhanushkraja @ Suriya _ offl @ Sai _ Pallavi92 @ selvaraghavan rakul preet you are beautiful 😍,joy
16405,@ AseefaBZ En masom logob ko hi marwana tum log khud kider thy bodu awam jis ne abi tak apna dimag hi use nai kiya https // t . co / FfUGnM384S,anger
20013,@ TheJanbaazKhan @ anjanaomkashyap Yeh Anjana Om Modi hai Yeh khud bol chukki hai Iss se kuch expect karna faaltoo … https // t co / tNYstSmLSa,anger
35123,@ Zshnmjd @ Meshesid Dr sahb se confirm kr lo k wo pehly jhoot bol rhy thy ya bad me,anger
12296,RT @ Sanjays81301051 @ Auro _ Mere Thanks for appreciating my feelings & sharing a message from the Mother which I needed the Most ! Love U Moh …,joy
26899,@ meghanavirat Maa ... Bhale happy ga undhi https // t . co / o91wT2qa1u,joy
36625,@ bprerna Behen ki laudi ! din bhar jo Masjido se loudspeakers gaand phaad k halla karte hain tab to tere Ko orgasm a … https // t . co / mIdMMzyika,anger
29425,@ KRKBoxOffice Gawar tu saala kutta hai . kuch kam nahi hai deshbhakti jesa gu stool movie karta hai . dekhne me joker … https // t . co / XfOKTE2hoV,anger
6793,Kunal tumse na ho paega 😂😂😂😂 @ kunalkamra88 https // t . co / aDzZOm84OZ,joy
39675,@ nimrahere Nahi nahi tum ney bohat khaufnaak baat ki hai I'll tag her and watch you two fight . Arsa hogaya phadday nahi dekhay 😂😂😂😂😂😝,joy
6038,@ narendramodi Modi ji aapko 2nd term kai liya congrats Yeh dusra safar aapka india ko bahut aagaye lai jayega Y … https // t co / AGy3U5dOb3,joy
42932,@ MadhavSheth1 Pehle realme 2 pro me android pie ka update do 😡😡😡😡,anger
15764,@ unkhann @ Fakeionist Inko inki auqat dikhani chayea . What they don ’ t realise is that they have a following and they … https // t . co / hV2tu0YIrU,anger
14704,@ chitraaum @ BJP4India @ MamataOfficial Mamata didi fas Gayi hai apne jaal me seculars ko khush karne k chakkar me hindu chitak Gaye,anger
14537,@ Jmih _ BB me sef chale but this summer will be different,joy
39258,@ INCIndia Sadme se bahar nhi aye ho kya congress balo kmse km sharm kro doob k mar jao desh pe bhrosa nhi tumhe ye … https // t . co / 6xd4h0xfTW,anger
37806,RT @ AlinaAdyl Chalo goiz 1000 followers hogye hain ab mujhy unfollower mt krna warna Allah pochy ga tum logo ko muslmano 😂 Jisko FOllow ba …,joy
